"","year","month","H_PRCP","H_TAVG","MEI","PDO","IOD","AO1","PDO1","my.sunspot.vec","F_PRCP","F_TAVG"
"343",1978,8,5.74,64.6,-0.182,-0.56,0.082,-0.354,-1.73868477192288,58.1,0,81.4
"344",1978,9,3.28,63.3,-0.364,-0.44,0.126,-0.099,-1.61183506252989,138.2,1.06,72.9
"345",1978,10,6.8,63.3,0.003,0.1,-0.122,0.895,-0.863943155615923,125.1,0,69.9
"346",1978,11,21.62,62,0.203,-0.07,-0.188,2.47,-0.127764122679958,97.9,1.35,52
"347",1978,12,12.63,56.9,0.406,-0.43,-0.029,-0.98,0.376015885582344,122.7,0.62,42.8
"348",1979,1,22.71,60.155520126819,0.608,-0.58,0.494,-2.233,0.707132267285364,166.6,2.72,47
"349",1979,2,54.63,56.7,0.379,-1.33,0.025,-0.697,0.915651965787807,137.5,2.53,51.4
"350",1979,3,5.31,57.8,0.002,0.3,0.13,-0.814,1.21779013696589,138,2.28,57.4
"351",1979,4,16.21,59.4,0.292,0.89,-0.015,-1.157,1.10228499122176,101.5,0.07,62.7
"352",1979,5,3.89,60.2,0.382,1.09,-0.234,-0.25,0.772135946545776,134.4,0.06,71.1
"353",1979,6,8.26,61.1,0.453,0.17,0.304,0.933,0.0347023557676128,149.5,0,77.9
"354",1979,7,2.16,63.6,0.397,0.84,-0.01,0.039,-0.980887649680051,159.4,0.08,82.2
"355",1979,8,2.55,64.6,0.637,0.52,0.063,-0.684,-1.68921135490611,142.2,0,79.9
"356",1979,9,1.65,65.3,0.801,1,0.103,-0.046,-1.47344959757789,188.4,0,79.5
"357",1979,10,6.67,64.7,0.694,1.06,0.063,-1.243,-0.548172814693309,186.2,0.48,67.7
"358",1979,11,15.12,61.8,0.759,0.48,0.015,0.475,0.155613091122905,183.3,1.02,53.9
"359",1979,12,2.72,61,1.004,-0.42,0.126,1.295,0.53365547476621,176.3,0.74,46.8
"360",1980,1,3.98,59,0.677,-0.11,0.025,-2.066,0.90401972229437,159.6,3.83,49.4
"361",1980,2,2.9,61.2,0.601,1.32,-0.021,-0.934,1.19778972656455,155,3.3,53.7
"362",1980,3,70.36,57.9,0.684,1.09,-0.251,-1.433,1.34638778530501,126.2,2.05,53.7
"363",1980,4,8.4,61.2,0.927,1.49,0.103,-0.419,1.30573599296834,164.1,0.25,61.8
"364",1980,5,6.89,62.1,0.966,1.2,0.148,-1.155,0.975432526160854,179.9,0.18,67.1
"365",1980,6,8.85,61.9,0.931,-0.22,-0.171,0.721,0.203696508503562,157.3,0,73.6
"366",1980,7,5.65,63.9,0.768,0.23,-0.339,-0.622,-0.927106666209603,136.3,0.01,83.9
"367",1980,8,4.2,63.8,0.349,0.51,-0.513,-0.185,-1.75242019502904,135.4,0,80.6
"368",1980,9,5.26,64.5,0.302,0.1,-0.35,0.313,-1.54330742708896,155,0,75.6
"369",1980,10,6.13,63.4,0.223,1.35,-0.282,-0.521,-0.522500994714803,164.7,0.03,68.4
"370",1980,11,6.93,62.1,0.27,0.37,-0.162,-1.361,0.185670537463649,147.9,0.14,54.1
"371",1980,12,2.46,61.2,0.111,-0.1,-0.264,-0.057,0.572615180223621,174.4,0.49,46.8
"372",1981,1,2.18,59.5,-0.25,0.59,-0.02,-0.116,0.779773419613997,114,2.67,47.9
"373",1981,2,8.12,58.9,-0.14,1.46,0.148,-0.332,0.989567719908292,141.3,1.29,52
"374",1981,3,6.04,58.2,0.455,0.99,0.186,-1.645,1.14296194899326,135.5,2.59,54.5
"375",1981,4,7.83,60,0.671,1.45,0.28,0.43,1.08475904757486,156.4,1.01,63.1
"376",1981,5,4.8,61.4,0.189,1.75,0.189,0.18,0.734797305391865,127.5,0,70.9
"377",1981,6,1.83,63.4,0.004,1.69,-0.032,-0.438,0.0329484480407486,90.9,0,82.8
"378",1981,7,2.47,63.8,-0.027,0.84,-0.247,0.561,-1.07364081873158,143.8,0,84.8
"379",1981,8,9.4,65.1,-0.072,0.18,-0.323,-0.244,-1.92559173950041,158.7,0,82.8
"380",1981,9,7.72,64.6,0.209,0.42,-0.363,-1.04,-1.53748646539101,167.3,0,76.5
"381",1981,10,5.17,62.5,0.132,0.18,-0.228,-1.167,-0.879908235110909,162.4,0.58,61.4
"382",1981,11,11.26,61,-0.021,0.8,-0.063,-0.188,-0.0619274319679112,137.5,1.22,55.4
"383",1981,12,24.83,58.2,-0.126,0.67,0.211,-1.216,0.605427901498024,150.1,0.66,47.7
"384",1982,1,16.84,57.8,-0.258,0.34,0.327,-0.883,0.854102472154319,111.2,2.11,41.7
"385",1982,2,3.11,59.8,-0.125,0.2,0.35,0.974,0.98969932271812,163.6,0.58,50.5
"386",1982,3,22.3,57.9,0.1,0.19,0.218,1.074,1.12921809176189,153.8,4.76,51.4
"387",1982,4,10.29,59.3,0.013,-0.19,0.312,1.454,1.14372234347633,122,0.89,58
"388",1982,5,7.31,60,0.445,-0.58,0.434,-0.209,0.824592648317502,82.2,0,69.3
"389",1982,6,5.83,64,0.947,-0.78,0.46,-1.18,0.179549190849907,110.4,0.31,72.9
"390",1982,7,16.74,64.2,1.613,0.58,0.574,0.005,-0.721772207833246,106.1,0,81
"391",1982,8,19.85,65,1.806,0.39,0.547,0.362,-1.50835809286846,107.6,0,80.4
"392",1982,9,7.12,63.5,1.835,0.84,0.82,0.558,-1.25724454450624,118.8,1.1,72.3
"393",1982,10,5.51,63,2.061,0.37,0.99,-0.211,-0.532887447410625,94.7,1.58,65
"394",1982,11,6.97,61.9,2.441,-0.25,0.541,0.661,0.0927057662272799,98.1,3.17,51.1
"395",1982,12,7.86,60.1,2.425,0.26,0.064,0.967,0.634036903674606,127,1.59,45.4
"396",1983,1,0.67,58.5,2.677,0.56,-0.297,1.359,0.984865313036248,84.3,5.14,45.2
"397",1983,2,0.73,58.5,2.931,1.14,-0.405,-1.806,1.16958376145688,51,3.7,53.1
"398",1983,3,1.02,58.4,3.008,2.11,-0.582,-0.567,1.24653017247171,66.5,4.53,55.9
"399",1983,4,7.26,58.5,2.808,1.87,-0.353,-0.738,1.19283635083113,80.7,2.76,57.9
"400",1983,5,9.11,59,2.538,1.8,0.157,-0.441,0.857516760230765,99.2,0.01,69.6
"401",1983,6,4.19,61.1,2.255,2.36,0.579,0.313,0.204207473096752,91.1,0,76.3
"402",1983,7,4.75,61.9,1.792,3.51,0.832,0.131,-0.817843156800717,82.2,0,79
"403",1983,8,7.76,62.9,1.184,1.85,0.642,1.098,-1.68242814685182,71.8,0.09,82.1
"404",1983,9,8.52,63.3,0.507,0.91,0.314,0.167,-1.66388406295008,50.3,1.03,78.8
"405",1983,10,7.18,61.4,0.056,0.96,0.089,1.369,-0.86800803368982,55.8,0.09,68.5
"406",1983,11,2.54,62,-0.115,1.02,-0.07,-0.688,-0.0945589027568541,33.4,2.51,54.6
"407",1983,12,9.41,60.5,-0.17,1.69,0.131,0.186,0.478063193052508,33.4,1.75,51.1
"408",1984,1,10.49,59.3,-0.314,1.5,-0.038,0.905,0.708817179704611,57,0.15,47.8
"409",1984,2,5.1,59.7,-0.509,1.21,0.033,-0.303,1.01920736397573,85.4,1.05,50.7
"410",1984,3,1.78,61.3,0.151,1.77,0.049,-2.386,1.14089453137857,83.5,0.48,58.4
